event_id,discipline,category,athlete_id,rank,qualification_rank,qualification_score,semi_final_rank,semi_final_score,final_rank,final_score
1396,boulder,youth b female,14151,24,24,2T6z 5 8,,,,
1396,boulder,youth b female,15027,25,25,2T6z 5 9,,,,
1396,boulder,youth b female,14285,26,26,2T6z 5 10,,,,
1396,boulder,youth b female,15468,27,27,2T5z 3 10,,,,
1396,boulder,youth b female,14165,28,28,2T4z 3 6,,,,
1396,boulder,youth b female,15600,29,29,2T4z 5 4,,,,
1396,boulder,youth b female,15909,30,30,2T3z 2 4,,,,
1396,boulder,youth b female,15914,31,31,2T2z 7 4,,,,
1396,boulder,youth b female,16231,32,32,1T6z 1 7,,,,
1396,boulder,youth b female,16193,32,32,1T6z 1 7,,,,
1396,boulder,youth b female,14585,34,34,1T5z 1 7,,,,
1396,boulder,youth b female,14996,35,35,1T5z 1 9,,,,
1396,boulder,youth b female,15497,36,36,1T5z 1 12,,,,
1396,boulder,youth b female,14995,37,37,1T4z 1 6,,,,
1396,boulder,youth b female,16020,38,38,1T4z 1 8,,,,
1396,boulder,youth b female,14275,38,38,1T4z 1 8,,,,
1396,boulder,youth b female,16021,40,40,1T3z 1 5,,,,
1396,boulder,youth b female,16264,41,41,1T3z 2 11,,,,
1396,boulder,youth b female,16243,42,42,1T2z 1 6,,,,
1396,boulder,youth b female,16266,43,43,1T2z 2 3,,,,
1396,boulder,youth b female,15915,44,44,1T2z 2 5,,,,
1396,boulder,youth b female,15378,45,45,1T1z 1 1,,,,
1396,boulder,youth b female,14897,45,45,1T1z 1 1,,,,
1396,boulder,youth b female,16104,45,45,1T1z 1 1,,,,
1396,boulder,youth b female,15066,48,48,1T1z 3 1,,,,
1396,boulder,youth b female,15963,49,49,0T4z 0 10,,,,
1396,boulder,youth b female,15868,50,50,0T3z 0 15,,,,
1396,boulder,youth b female,16180,51,51,0T2z 0 2,,,,
1396,boulder,youth b female,16182,52,52,0T1z 0 1,,,,
1396,boulder,youth b female,16165,53,53,0T1z 0 2,,,,
1396,boulder,youth b female,16242,53,53,0T1z 0 2,,,,
1396,boulder,youth b female,16265,,,DNS,,,,
1396,boulder,youth b female,16296,,,DNS,,,,
1376,speed,women,3120,1,4,7.16,,,1,6.84
1376,speed,women,1024,2,2,7.08,,,2,7.03
1376,speed,women,2848,3,1,6.53,,,3,6.38
1376,speed,women,13761,4,3,7.1,,,4,7.7
1376,speed,women,2857,5,5,7.17,,,5,7.11
1376,speed,women,13373,6,6,7.19,,,6,7.34 (7.19)
1376,speed,women,2855,7,10,7.86,,,7,7.32
1376,speed,women,995,8,9,7.84,,,8,8.64 (7.84)
1376,speed,women,966,9,14,8.35,,,9,7.37
1376,speed,women,12395,10,7,7.78,,,10,FALL (7.78)
1376,speed,women,11595,11,8,7.8,,,11,7.91 (7.80)
1376,speed,women,12323,12,11,7.88,,,12,7.84
1376,speed,women,11596,13,12,7.93,,,13,9.31 (7.93)
1376,speed,women,12853,14,13,8.18,,,14,8.19 (8.18)
1376,speed,women,12741,15,15,8.4,,,15,8.32
1376,speed,women,11593,16,16,8.53,,,16,8.95 (8.53)
1376,speed,women,14193,17,17,8.61,,,,
1376,speed,women,13052,18,18,8.66,,,,
